START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/30/23,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local Radio: TUDN WRTO 1200",03/30/23,03/30/23,04:20 PM,05:20 PM,FALSE,TRUE,03/30/23,12:20 PM,01:20 PM,FREE,BUSY
04/01/23,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local Radio: TUDN WRTO 1200",04/01/23,04/01/23,04:20 PM,05:20 PM,FALSE,TRUE,04/01/23,12:20 PM,01:20 PM,FREE,BUSY
04/02/23,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local Radio: TUDN WRTO 1200",04/02/23,04/02/23,04:20 PM,05:20 PM,FALSE,TRUE,04/02/23,12:20 PM,01:20 PM,FREE,BUSY
04/07/23,01:20 PM,02:20 PM,Rangers at Cubs,Wrigley Field - Chicago,"Local TV: Apple TV+ ----- Local Radio: 670 The Score",04/07/23,04/07/23,04:20 PM,05:20 PM,FALSE,TRUE,04/07/23,12:20 PM,01:20 PM,FREE,BUSY
04/08/23,03:05 PM,04:05 PM,Rangers at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",04/08/23,04/08/23,06:05 PM,07:05 PM,FALSE,TRUE,04/08/23,02:05 PM,03:05 PM,FREE,BUSY
04/09/23,01:20 PM,02:20 PM,Rangers at Cubs,Wrigley Field - Chicago,"Local Radio: 670 The Score",04/09/23,04/09/23,04:20 PM,05:20 PM,FALSE,TRUE,04/09/23,12:20 PM,01:20 PM,FREE,BUSY
04/10/23,06:40 PM,07:40 PM,Mariners at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",04/10/23,04/10/23,09:40 PM,10:40 PM,FALSE,TRUE,04/10/23,05:40 PM,06:40 PM,FREE,BUSY
04/11/23,06:40 PM,07:40 PM,Mariners at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",04/11/23,04/11/23,09:40 PM,10:40 PM,FALSE,TRUE,04/11/23,05:40 PM,06:40 PM,FREE,BUSY
04/12/23,01:20 PM,02:20 PM,Mariners at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",04/12/23,04/12/23,04:20 PM,05:20 PM,FALSE,TRUE,04/12/23,12:20 PM,01:20 PM,FREE,BUSY
04/20/23,06:40 PM,07:40 PM,Dodgers at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",04/20/23,04/20/23,09:40 PM,10:40 PM,FALSE,TRUE,04/20/23,05:40 PM,06:40 PM,FREE,BUSY
