START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/03/23,03:10 PM,04:10 PM,Giants at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",04/03/23,04/03/23,06:10 PM,07:10 PM,FALSE,TRUE,04/03/23,02:10 PM,03:10 PM,FREE,BUSY
04/05/23,01:10 PM,02:10 PM,Giants at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",04/05/23,04/05/23,04:10 PM,05:10 PM,FALSE,TRUE,04/05/23,12:10 PM,01:10 PM,FREE,BUSY
04/06/23,01:10 PM,02:10 PM,Giants at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",04/06/23,04/06/23,04:10 PM,05:10 PM,FALSE,TRUE,04/06/23,12:10 PM,01:10 PM,FREE,BUSY
04/14/23,06:10 PM,07:10 PM,Orioles at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",04/14/23,04/14/23,09:10 PM,10:10 PM,FALSE,TRUE,04/14/23,05:10 PM,06:10 PM,FREE,BUSY
04/15/23,01:10 PM,02:10 PM,Orioles at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",04/15/23,04/15/23,04:10 PM,05:10 PM,FALSE,TRUE,04/15/23,12:10 PM,01:10 PM,FREE,BUSY
04/16/23,01:10 PM,02:10 PM,Orioles at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",04/16/23,04/16/23,04:10 PM,05:10 PM,FALSE,TRUE,04/16/23,12:10 PM,01:10 PM,FREE,BUSY
04/17/23,06:10 PM,07:10 PM,Phillies at White Sox,Guaranteed Rate Field - Chicago,"Local TV: MLBN ----- Local Radio: WMVP 1000 AM",04/17/23,04/17/23,09:10 PM,10:10 PM,FALSE,TRUE,04/17/23,05:10 PM,06:10 PM,FREE,BUSY
04/18/23,06:10 PM,07:10 PM,Phillies at White Sox,Guaranteed Rate Field - Chicago,"Local Radio: WMVP 1000 AM",04/18/23,04/18/23,09:10 PM,10:10 PM,FALSE,TRUE,04/18/23,05:10 PM,06:10 PM,FREE,BUSY
04/19/23,01:10 PM,02:10 PM,Phillies at White Sox,Guaranteed Rate Field - Chicago,"Local Radio: WMVP 1000 AM",04/19/23,04/19/23,04:10 PM,05:10 PM,FALSE,TRUE,04/19/23,12:10 PM,01:10 PM,FREE,BUSY
04/27/23,06:10 PM,07:10 PM,Rays at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH",04/27/23,04/27/23,09:10 PM,10:10 PM,FALSE,TRUE,04/27/23,05:10 PM,06:10 PM,FREE,BUSY
04/28/23,06:10 PM,07:10 PM,Rays at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH",04/28/23,04/28/23,09:10 PM,10:10 PM,FALSE,TRUE,04/28/23,05:10 PM,06:10 PM,FREE,BUSY
04/29/23,06:10 PM,07:10 PM,Rays at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH",04/29/23,04/29/23,09:10 PM,10:10 PM,FALSE,TRUE,04/29/23,05:10 PM,06:10 PM,FREE,BUSY
04/30/23,01:10 PM,02:10 PM,Rays at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH",04/30/23,04/30/23,04:10 PM,05:10 PM,FALSE,TRUE,04/30/23,12:10 PM,01:10 PM,FREE,BUSY
05/02/23,06:10 PM,07:10 PM,Twins at White Sox,Guaranteed Rate Field - Chicago,"Local Radio: TUDN WRTO 1200",05/02/23,05/02/23,09:10 PM,10:10 PM,FALSE,TRUE,05/02/23,05:10 PM,06:10 PM,FREE,BUSY
05/03/23,06:10 PM,07:10 PM,Twins at White Sox,Guaranteed Rate Field - Chicago,"Local Radio: TUDN WRTO 1200",05/03/23,05/03/23,09:10 PM,10:10 PM,FALSE,TRUE,05/03/23,05:10 PM,06:10 PM,FREE,BUSY
05/04/23,01:10 PM,02:10 PM,Twins at White Sox,Guaranteed Rate Field - Chicago,"Local Radio: TUDN WRTO 1200",05/04/23,05/04/23,04:10 PM,05:10 PM,FALSE,TRUE,05/04/23,12:10 PM,01:10 PM,FREE,BUSY
05/12/23,07:10 PM,08:10 PM,Astros at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: TUDN WRTO 1200",05/12/23,05/12/23,10:10 PM,11:10 PM,FALSE,TRUE,05/12/23,06:10 PM,07:10 PM,FREE,BUSY
